Date,Average 2015-2019,Other resp
2020-01-06T05:00:00.000Z,753,897
2020-01-13T05:00:00.000Z,742,826
2020-01-20T05:00:00.000Z,740.2,811
2020-01-27T05:00:00.000Z,722,774
2020-02-03T05:00:00.000Z,698.8,781
2020-02-10T05:00:00.000Z,688,778
2020-02-17T05:00:00.000Z,678.8,788
2020-02-24T05:00:00.000Z,726.6,810
2020-03-03T05:00:00.000Z,682.8,845
2020-03-10T04:00:00.000Z,699.6,803
2020-03-17T04:00:00.000Z,691.8,776
2020-03-24T04:00:00.000Z,696,845
2020-03-31T04:00:00.000Z,676.8,884
2020-04-07T04:00:00.000Z,650.6,854
2020-04-14T04:00:00.000Z,661.2,853
2020-04-21T04:00:00.000Z,655,789
2020-04-28T04:00:00.000Z,620.8,712
2020-05-05T04:00:00.000Z,621.6,703
2020-05-12T04:00:00.000Z,591.2,680
2020-05-19T04:00:00.000Z,569,605
2020-05-26T04:00:00.000Z,590.6,551