Date,Average 2015-2019,All Cause
2020-01-06T05:00:00.000Z,166.6,169
2020-01-13T05:00:00.000Z,161.6,169
2020-01-20T05:00:00.000Z,154.2,168
2020-01-27T05:00:00.000Z,173.2,151
2020-02-03T05:00:00.000Z,159.6,162
2020-02-10T05:00:00.000Z,157.6,150
2020-02-17T05:00:00.000Z,164.6,177
2020-02-24T05:00:00.000Z,162,177
2020-03-03T05:00:00.000Z,164,163
2020-03-10T04:00:00.000Z,168.6,194
2020-03-17T04:00:00.000Z,160.8,166
2020-03-24T04:00:00.000Z,163.2,162
2020-03-31T04:00:00.000Z,152.2,149
2020-04-07T04:00:00.000Z,163.2,170
2020-04-14T04:00:00.000Z,163.6,149
2020-04-21T04:00:00.000Z,159,152
2020-04-28T04:00:00.000Z,141.8,175
2020-05-05T04:00:00.000Z,157,159
2020-05-12T04:00:00.000Z,150.8,181
2020-05-19T04:00:00.000Z,142.6,146
2020-05-26T04:00:00.000Z,146.2,162
2020-06-02T04:00:00.000Z,139.4,156
2020-06-09T04:00:00.000Z,152.8,146
2020-06-16T04:00:00.000Z,149,159
2020-06-23T04:00:00.000Z,150.8,175
2020-06-30T04:00:00.000Z,145.4,162
2020-07-07T04:00:00.000Z,147,159
2020-07-14T04:00:00.000Z,151.4,168
2020-07-21T04:00:00.000Z,142,158
2020-07-28T04:00:00.000Z,149.6,172
2020-08-04T04:00:00.000Z,150.6,144
2020-08-11T04:00:00.000Z,148,169
2020-08-18T04:00:00.000Z,140,147