Date,Average 2015-2019,Cancer
2020-01-06T05:00:00.000Z,10765.8,10557
2020-01-13T05:00:00.000Z,11001.8,10916
2020-01-20T05:00:00.000Z,10804.6,10618
2020-01-27T05:00:00.000Z,10710.4,10736
2020-02-03T05:00:00.000Z,10633.6,10876
2020-02-10T05:00:00.000Z,10775.4,10704
2020-02-17T05:00:00.000Z,10609.8,10792
2020-02-24T05:00:00.000Z,10574,10717
2020-03-03T05:00:00.000Z,10433.2,10769
2020-03-10T04:00:00.000Z,10671.6,10686
2020-03-17T04:00:00.000Z,10547.6,10483
2020-03-24T04:00:00.000Z,10580.8,10753
2020-03-31T04:00:00.000Z,10396.4,10823
2020-04-07T04:00:00.000Z,10441.4,10638
2020-04-14T04:00:00.000Z,10482,10551
2020-04-21T04:00:00.000Z,10348.4,10228
2020-04-28T04:00:00.000Z,10378.4,10297
2020-05-05T04:00:00.000Z,10421.4,10086
2020-05-12T04:00:00.000Z,10294.2,10028
2020-05-19T04:00:00.000Z,10303.6,10171
2020-05-26T04:00:00.000Z,10320.4,10121
2020-06-02T04:00:00.000Z,10217.2,9930
2020-06-09T04:00:00.000Z,10226.2,10061
2020-06-16T04:00:00.000Z,10296.2,10003
2020-06-23T04:00:00.000Z,10355.8,9992
2020-06-30T04:00:00.000Z,10346.6,10050