Year,Week Ending Date,Deaths
2015,01/10/2015,14886
2015,01/17/2015,14567
2015,01/24/2015,13971
2015,01/31/2015,13519
2015,02/07/2015,13858
2015,02/14/2015,13422
2015,02/21/2015,13597
2015,02/28/2015,13377
2015,03/07/2015,13463
2015,03/14/2015,13145
2015,03/21/2015,12825
2015,03/28/2015,12588
2015,04/04/2015,12682
2015,04/11/2015,12533
2015,04/18/2015,12460
2015,04/25/2015,12106
2015,05/02/2015,12278
2015,05/09/2015,12116
2015,05/16/2015,11865
2015,05/23/2015,11512
2015,05/30/2015,11638
2015,06/06/2015,11338
2015,06/13/2015,11465
2015,06/20/2015,11280
2015,06/27/2015,11339
2015,07/04/2015,11350
2015,07/11/2015,11402
2015,07/18/2015,11421
2015,07/25/2015,11295
2015,08/01/2015,11252
2015,08/08/2015,10884
2015,08/15/2015,11032
2015,08/22/2015,11079
2015,08/29/2015,11134
2015,09/05/2015,11001
2015,09/12/2015,11202
2015,09/19/2015,11202
2015,09/26/2015,11171
2015,10/03/2015,11247
2015,10/10/2015,11742
2015,10/17/2015,11407
2015,10/24/2015,11722
2015,10/31/2015,11571
2015,11/07/2015,11789
2015,11/14/2015,11680
2015,11/21/2015,12058
2015,11/28/2015,12082
2015,12/05/2015,12343
2015,12/12/2015,12707
2015,12/19/2015,12286
2015,12/26/2015,12483
2015,01/02/2016,12564
2016,01/09/2016,13192
2016,01/16/2016,13226
2016,01/23/2016,13012
2016,01/30/2016,13129
2016,02/06/2016,12992
2016,02/13/2016,13249
2016,02/20/2016,13378
2016,02/27/2016,12955
2016,03/05/2016,13122
2016,03/12/2016,13162
2016,03/19/2016,12772
2016,03/26/2016,12792
2016,04/02/2016,12711
2016,04/09/2016,12614
2016,04/16/2016,12527
2016,04/23/2016,12532
2016,04/30/2016,11858
2016,05/07/2016,11791
2016,05/14/2016,11886
2016,05/21/2016,11624
2016,05/28/2016,11707
2016,06/04/2016,11696
2016,06/11/2016,11353
2016,06/18/2016,11552
2016,06/25/2016,11582
2016,07/02/2016,11408
2016,07/09/2016,11396
2016,07/16/2016,11264
2016,07/23/2016,11115
2016,07/30/2016,11248
2016,08/06/2016,11322
2016,08/13/2016,11324
2016,08/20/2016,11406
2016,08/27/2016,11085
2016,09/03/2016,11041
2016,09/10/2016,11461
2016,09/17/2016,11164
2016,09/24/2016,11294
2016,10/01/2016,11364
2016,10/08/2016,11706
2016,10/15/2016,11980
2016,10/22/2016,11856
2016,10/29/2016,11941
2016,11/05/2016,11936
2016,11/12/2016,12129
2016,11/19/2016,12334
2016,11/26/2016,12493
2016,12/03/2016,12671
2016,12/10/2016,12911
2016,12/17/2016,13342
2016,12/24/2016,13313
2016,12/31/2016,13739
2017,01/07/2017,14090
2017,01/14/2017,14277
2017,01/21/2017,13982
2017,01/28/2017,13680
2017,02/04/2017,13742
2017,02/11/2017,13801
2017,02/18/2017,13929
2017,02/25/2017,13655
2017,03/04/2017,13426
2017,03/11/2017,13316
2017,03/18/2017,13501
2017,03/25/2017,13146
2017,04/01/2017,12788
2017,04/08/2017,12716
2017,04/15/2017,12429
2017,04/22/2017,12132
2017,04/29/2017,12461
2017,05/06/2017,12038
2017,05/13/2017,11993
2017,05/20/2017,12226
2017,05/27/2017,11740
2017,06/03/2017,11814
2017,06/10/2017,11874
2017,06/17/2017,11787
2017,06/24/2017,11533
2017,07/01/2017,11657
2017,07/08/2017,11610
2017,07/15/2017,11427
2017,07/22/2017,11342
2017,07/29/2017,11105
2017,08/05/2017,11383
2017,08/12/2017,11307
2017,08/19/2017,11329
2017,08/26/2017,11214
2017,09/02/2017,11505
2017,09/09/2017,11618
2017,09/16/2017,11757
2017,09/23/2017,11577
2017,09/30/2017,11494
2017,10/07/2017,11809
2017,10/14/2017,11666
2017,10/21/2017,11918
2017,10/28/2017,12022
2017,11/04/2017,12218
2017,11/11/2017,12133
2017,11/18/2017,12455
2017,11/25/2017,12661
2017,12/02/2017,12714
2017,12/09/2017,12908
2017,12/16/2017,13502
2017,12/23/2017,14001
2017,12/30/2017,14822
2018,01/06/2018,16074
2018,01/13/2018,15966
2018,01/20/2018,14949
2018,01/27/2018,14373
2018,02/03/2018,13946
2018,02/10/2018,14213
2018,02/17/2018,13833
2018,02/24/2018,13320
2018,03/03/2018,13378
2018,03/10/2018,13437
2018,03/17/2018,13209
2018,03/24/2018,13139
2018,03/31/2018,12876
2018,04/07/2018,12889
2018,04/14/2018,13051
2018,04/21/2018,12526
2018,04/28/2018,12451
2018,05/05/2018,12549
2018,05/12/2018,12196
2018,05/19/2018,11769
2018,05/26/2018,11949
2018,06/02/2018,11806
2018,06/09/2018,12037
2018,06/16/2018,11805
2018,06/23/2018,11711
2018,06/30/2018,11690
2018,07/07/2018,11873
2018,07/14/2018,11832
2018,07/21/2018,11559
2018,07/28/2018,11479
2018,08/04/2018,11511
2018,08/11/2018,11571
2018,08/18/2018,11472
2018,08/25/2018,11294
2018,09/01/2018,11505
2018,09/08/2018,11249
2018,09/15/2018,11467
2018,09/22/2018,11663
2018,09/29/2018,11597
2018,10/06/2018,11781
2018,10/13/2018,11800
2018,10/20/2018,12186
2018,10/27/2018,12215
2018,11/03/2018,12414
2018,11/10/2018,12230
2018,11/17/2018,12719
2018,11/24/2018,12860
2018,12/01/2018,13267
2018,12/08/2018,13077
2018,12/15/2018,13135
2018,12/22/2018,13423
2018,12/29/2018,13369
2019,1/5/19,13890
2019,1/12/19,13641
2019,1/19/19,13639
2019,1/26/19,13752
2019,2/2/19,13775
2019,2/9/19,13666
2019,2/16/19,13757
2019,2/23/19,13559
2019,3/2/19,13915
2019,3/9/19,13823
2019,3/16/19,13570
2019,3/23/19,13439
2019,3/30/19,13282
2019,4/6/19,13247
2019,4/13/19,12804
2019,4/20/19,12972
2019,4/27/19,12589
2019,5/4/19,12549
2019,5/11/19,12376
2019,5/18/19,12518
2019,5/25/19,12498
2019,6/1/19,12222
2019,6/8/19,12170
2019,6/15/19,12082
2019,6/22/19,12020
2019,6/29/19,12061
2019,7/6/19,12185
2019,7/13/19,11881
2019,7/20/19,11685
2019,7/27/19,11762
2019,8/3/19,11837
2019,8/10/19,11637
2019,8/17/19,11604
2019,8/24/19,11508
2019,8/31/19,11588
2019,9/7/19,11702
2019,9/14/19,11732
2019,9/21/19,11740
2019,9/28/19,11801
2019,10/5/19,11759
2019,10/12/19,11915
2019,10/19/19,12524
2019,10/26/19,12407
2019,11/2/19,12105
2019,11/9/19,12667
2019,11/16/19,12937
2019,11/23/19,12982
2019,11/30/19,12985
2019,12/7/19,13560
2019,12/14/19,13171
2019,12/21/19,13254
2019,12/28/19,13810
2020,1/4/20,14152
2020,1/11/20,13839
2020,1/18/20,13504
2020,1/25/20,13488
2020,2/1/20,13350
2020,2/8/20,13919
2020,2/15/20,13561
2020,2/22/20,13523
2020,2/29/20,13596
2020,3/7/20,13549
2020,3/14/20,13270
2020,3/21/20,13032
2020,3/28/20,13614
2020,4/4/20,14836
2020,4/11/20,15634
2020,4/18/20,14454
2020,4/25/20,13705
2020,5/2/20,12845
2020,5/9/20,12949
2020,5/16/20,12509
2020,5/23/20,12504
2020,5/30/20,12125
2020,6/6/20,12071
2020,6/13/20,11917
2020,6/20/20,11827
2020,6/27/20,11652
2020,7/4/20,11802
2020,7/11/20,11618
2020,7/18/20,11171
2020,7/25/20,10873
2020,8/1/20,9892
2020,8/8/20,7929